ProductName,ProductID,Brand,Price,DiscountedPrice,Category,Quantity
Eureka Super Clean Vacuum Cleaner,142,,3599,2999,Appliances,800 W
Eureka Aquasure Cartridge - 4000 Litres,141,,875,825,Water Purifiers & Accessories,1 U
Zebronics TU240C Type C Charging Cable,550,Zebronics,349,99,Zebronics,1 U
Ambrane Type-C Braided Cable (1 Metre),14,Ambrane,299,99,Appliances,1 U
Philips 1400W Gc1906/20 Steam Iron,367,Philips,1995,1599,Appliances,1 U
Duracell Chhota Power AA?Batteries,120,Duracell,95,85,Appliances,4 Unit
Ambrane Polymer Power Bank,13,Ambrane,1799,699,Appliances,1 U
Duracell Chhota Power AAA?Batteries,121,Duracell,95,85,Appliances,4 Unit
Cg Laser Ray Neo 20W Led Batten,74,,600,209,Appliances,1 U
Panasonic Multi Plug Adaptor,364,Panasonic,161,109,Appliances,1 U
Zebronics Aux Cable ASC100,542,Zebronics,169,34,Appliances,1 U
Panasonic Cherry Flexicord Flex Box,363,Panasonic,331,249,Appliances,1 Unit
Syska SDI07 Dry Iron,457,Syska,799,449,Syska,1000 W
Bajaj Dry Iron - DX4,21,Bajaj,1400,869,Appliances,1000 W
Crompton Greaves Rhino Heavy Weight Iron,91,Crompton Greaves,1400,1049,Appliances,1000 W
Bajaj MX35N Steam Iron,35,Bajaj,3800,1899,Appliances,2000 W
Crompton Greaves Dry Iron - PD Plus,89,Crompton Greaves,1030,649,Appliances,1000 W
Usha EI1602 Electric Iron,519,Usha,1290,599,Appliances,1000 W
Usha Aurora Dry Iron,517,Usha,1390,799,Appliances,1 Unit
Crompton Greaves Hill Briz Ceiling Fan 1200 mm,90,Crompton Greaves,2349,1649,Appliances,1 Unit
Crompton Greaves Super Briz Deco Ceiling Fan 1200 mm : Smoked Brown,92,Crompton Greaves,2430,1899,Appliances,Silver White
Crompton Greaves Super Briz Deco Ceiling Fan 1200 mm : Smoked Brown,92,Crompton Greaves,2430,1899,Appliances,Smoked Brown
Havells Reo Tejas Ceiling Fan 1200 mm,202,Havells,2345,1722,Appliances,1 Unit
Usha Swift Ceiling Fan 600 mm,527,Usha,2110,1799,Appliances,1 U
Usha Aerostyle Ceiling Fan 1200 mm,514,Usha,1960,1499,Appliances,1 U
Bajaj Grace DLX Bianco Ceiling Fan 1200 mm,25,Bajaj,3320,1999,Appliances,1 U
Usha Air King Deco Ceiling Fan,515,Usha,2170,1799,Appliances,1 Unit
Bajaj Grace DLX Mat Ceiling Fan 1200 mm,26,Bajaj,2110,1899,Appliances,1 U
Syska Maxair Deco Ceiling Fan Sfd 1000 - 1200 mm,454,Syska,2050,1299,Appliances,1 U
Orpat Air Flora Ceiling Fan 1200 mm,362,Orpat,1760,1399,Appliances,1 Unit
Syska Maxair Silent Operation Ceiling Fan SFP 1100 - 1200 mm,455,Syska,1899,1199,Appliances,1 U
Crompton Greaves Avancer Antidust Bakers Ceiling Fan 1200 mm,88,Crompton Greaves,4180,3599,Appliances,1 Unit
GM Air MT Electric Ceiling Fan - 1200 mm,190,GM,1799,1299,Appliances,1 U
Usha Striker Platinum GBD Ceiling Fan 1200 mm,526,Usha,2995,2499,Appliances,1 U
GM G-Breeze Deco MT Ceiling Fan - 1200 mm,191,GM,2199,1449,Appliances,1 U
Usha Mist Air Duos Pedestal Fan,524,Usha,3685,2699,Appliances,1 U
Havells Aerosupreme Deco Electric Ceiling Fan - 1200 mm,198,Havells,2680,1999,Appliances,1 U
Usha Striker Galaxy Good Bye Dust Ceiling Fan 1200 mm,525,Usha,3840,2999,Appliances,Silver Sage
Crompton IHL-201 Immersion Heater,93,Crompton Greaves,825,549,Appliances,1000 W
Crompton Instant Water Heater,95,Crompton Greaves,5600,3899,Appliances,3 L
Crompton Immersion Heater,94,Crompton,530,479,Appliances,1000 W
Usha IH2410 Immersion Heater,522,Usha,650,479,Appliances,1000 W
Borosil Rio Kettle - 1.5 Litres,53,Borosil,1290,799,Appliances,1.5 L
Crompton Greaves Ameo Mixer Grinder - 750 W,87,Crompton Greaves,4800,3499,Appliances,750 W
Kajafa Multifunctional Juicer - 400 W,241,,1550,1395,Appliances,1 Unit
Bajaj Mixer Grinder Tornado - 3 Jars,34,Bajaj,4050,2399,Appliances,550 W
Wonderchef Nutri-Blend Red With 3 Jars,539,Wonderchef,6100,2999,Appliances,400 W
Bajaj Mixer Grinder - GX4 - 500 W,33,Bajaj,3150,2449,Appliances,500 W
Bajaj GX8 Mixer Grinder - 750 W,27,Bajaj,6275,3599,Appliances,750 W
Morphy Richards Primo Classique Mixer Grinder - 750 W,320,Morphy Richards,6095,3999,Appliances,750 W
Pigeon Induction Cooktop Acer Plus,373,Pigeon,3595,1799,Pigeon,1800 W
Prestige Induction Cooktop PIC 16.0 Plus,407,Prestige,3945,2499,Appliances,1900 W
Prestige Induction Cooktop PIC 20.0,408,Prestige,3345,2149,Appliances,1 Unit
Bajaj Majesty ICX Pearl Induction Cooktop,32,Bajaj,4170,2849,Appliances,1900 W
Bajaj Majesty ICX 3 Induction Cooktop,31,Bajaj,3410,2349,Appliances,1400 W
Usha Induction Cooktop - IC3616 : 1600 W,523,Usha,3890,2399,Appliances,1 Unit
Zebronics Tulip Earphones - Black,551,Zebronics,459,149,Zebronics,1 U
Zebronics Gravity Wireless Bluetooth Neckband Earphone,545,Zebronics,1299,649,Zebronics,1 U
Zebronics Delight Bluetooth Speaker,544,Zebronics,899,499,Zebronics,3 W
Zebronics Aura Bluetooth Headphone,541,Zebronics,999,499,Zebronics,1 U
Zebronics Ms Alex Optical USB Mouse,549,Zebronics,299,149,Computer Accessories,1 U
Zebronics K20 Keyboard,547,Zebronics,399,299,Computer Accessories,1 U
Portronics Kronos Y1 Smart Watch - Grey,386,Portronics,5999,2499,Smartwatches,1 U
Butterfly Hippo Stainless Steel Gas Stove,66,Butterfly,3429,2099,Appliances,2 Burners
Basmati Rice Mogra,38,,375,289,DMart Grocery,5 kg
Basmati Rice Mogra,38,,750,549,DMart Grocery,10 kg
Rice Pulav Basmati,420,,500,398,DMart Grocery,5 kg
Basmati Rice Mini Mogra (Broken),37,,650,440,DMart Grocery,10 kg
Rice Basmati,418,,140,115,DMart Grocery,1 kg
Biryani Rice,41,,700,505,DMart Grocery,5 kg
Rice Tibar Basmati,421,,650,452,DMart Grocery,5 kg
Rice Basmati Wand : 5 kgs,419,,800,526,DMart Grocery,5 kg
Mogra Basmati Rice,319,,72,61,DMart Grocery,1 kg
Wada Kolam Rice,534,,850,615,DMart Grocery,10 kg
Wada Kolam Rice,534,,78,67,DMart Grocery,1 kg
Wada Kolam Rice,534,,500,325,DMart Grocery, 5 kg
Silky Kolam Rice,442,,460,279,DMart Grocery, 5 kg
Silky Kolam Rice,442,,69,60,DMart Grocery,1 kg
HMT Kolam Rice,204,,67,58,DMart Grocery,1 kg
HMT Kolam Rice,204,,410,263,DMart Grocery,5 kg
HMT Kolam Rice,204,,700,495,DMart Grocery,10 kg
Eco Kolam Jirasar Sorted Rice,125,,260,240,DMart Grocery, 5 kg
Eco Kolam Jirasar Sorted Rice,125,,550,425,DMart Grocery,10 kg
Premia Goda Masala,406,Premia,28,19,DMart Grocery,100 gm
Premia Akrod Whole,405,,193,148,DMart Grocery,200 gm
Shree Annapurna Jaggery Powder,437,Annapurna,100,50,DMart Grocery,1 Kg
GB Surti Kolam Sorted Rice,182,,510,315,DMart Grocery,5 kg
Disposable Paper Glass - 150 ml,107,,75,59,Tableware,Pack of 50
Disposable Paper Glass - 150 ml,107,,115,90,Tableware,Pack of 50
Disposable Paper Glass - 150 ml,107,,99,79,Tableware,Pack of 50
Disposable Paper Plates - 10 inches,109,,139,109,Tableware,Pack of 50
Disposable Paper Plates - 10 inches,109,,90,69,Tableware,Pack of 50
Disposable Paper Plates - 10 inches,109,,115,89,Tableware,Pack of 50
Disposable Wooden Spoon - 14 cm,112,,69,59,Tableware,Pack of 30
